,text,normal_text,label
80,гарантийный талон даёте,гарантийный талон давать,обивка
81,гарантийный талон будет,гарантийный талон,обивка
82,гарантийный талон,гарантийный талон,обивка
83,купить где,купить,обивка
84,Любые модели ремонтируете,любой модель ремонтировать,обивка
85,Толко свои кресла ремонтируете,толко свой кресло ремонтировать,обивка
86,у Вас дорогой ремонт,дорога ремонт,обивка
87,гарантию на ремонт даете,гарантия ремонт давать,обивка
88,Перетяжка кресел есть у Вас,перетяжка кресло,обивка
89,Перетяжку кресел деаете,перетяжка кресло деаета,обивка
90,Каким материалом делаете перетяжку,какой материал делать перетяжка,делаете
91,При помощи чего перетяжку делаете,помощь перетяжка делать,делаете
92,долго перетяжку делаете,долго перетяжка делать,делаете
93,быстро перетяжку делаете,быстро перетяжка делать,делаете
94,Перетяжку кожанных кресел делаете,перетяжка кожать кресло делать,делаете
95,Ткань на сидушки перетягивате,ткань сидушка перетягивата,обивка
96,можно спинку перетянуть,спинка перетянуть,обивка
97,новую ткань можно натянуть на спинку кресла,новый ткань натянуть спинка кресло,обивка
98,можно новую ткань на сиденье натянуть,новый ткань сидение натянуть,обивка
99,можно новую ткань на сиденье сделать,новый ткань сидение сделать,обивка
100,можно кожу на сиденье натянуть,кожа сидение натянуть,обивка
101,можно кожу на сиденье сделать,кожа сидение сделать,обивка
102,кожзам перетягиваете,кожзам перетягивать,обивка
103,натуральную кожа или демантин перетягиваете,натуральный кожа демантин перетягивать,обивка
104,алькантарой можете обтянуть,алькантара мочь обтянуть,можете
105,своим материалом можно перетянуть,свой материал перетянуть,обивка
106,каркас ремонтируете,каркас ремонтировать,обивка
107,каркас варите,каркас варить,обивка
108,каркас приварить можете,каркас приварить мочь,можете
109,долго каркас ремонтировать,долго каркас ремонтировать,обивка
110,крестовину ремонтируете,крестовина ремонтировать,обивка
111,крестовину можете отремонтировать,крестовина мочь отремонтировать,можете
112,Крестовину можете заменить,крестовина мочь заменить,можете
113,Крестовину можете посмотреть,крестовина мочь посмотреть,можете
114,Крестовину долго ремонтировать,крестовина долго ремонтировать,обивка
115,Ремонтируете газлифт,ремонтировать газлифт,обивка
116,Ремонтируете газ-лифт,ремонтировать газ-лифт,обивка
117,Ремонтируете газ лифт,ремонтировать газ лифт,обивка
118,Газлифт можете заменить,газлифт мочь заменить,можете
119,Газ-лифт можете заменить,газ-лифт мочь заменить,можете
120,Газ лифт можете заменить,газ лифт мочь заменить,можете
121,Ремонт колесиков делаете,ремонт колёсико делать,делаете
122,Колесики можете почистить,колёсико мочь почистить,можете
123,Колесики можете покрасить,колёсико мочь покрасить,можете
124,Колесики ремонтируете,колёсико ремонтировать,обивка
125,Ремонт колес делаете,ремонт колесо делать,делаете
126,Колеса можете почистить,колесо мочь почистить,можете
127,Колеса можете покрасить,колесо мочь покрасить,можете
128,Колеса ремонтируете,колесо ремонтировать,обивка
129,Колеса можно у Вас купить,колесо купить,обивка
130,Колесики можно у Вас купить,колёсико купить,обивка
131,Колесики можете посмотреть,колёсико мочь посмотреть,можете
132,Колесики можете подобрать,колёсико мочь подобрать,можете
133,какие колесики лучше,какой колёсико,обивка
134,какие колесики дольше проходят,какой колёсико долгий проходить,обивка
135,какие колесики дольше прослужат,какой колёсико долгий прослужить,обивка
136,Ремонт можете посчитать,ремонт мочь посчитать,можете
137,Обивка поролоном,обивка поролон,обивка
138,Поролоном обиваете,поролон обивать,обивка
139,Делаете обивку поролоном,делать обивка поролон,делаете
140,Поролон можете поменять,поролон мочь поменять,можете
141,Долго поролоном обить,долго поролон обить,обивка
142,Долго поролон поменять,долго поролон поменять,поменять
143,Дорого поролон поменять,дорого поролон поменять,поменять
144,Новый поролон сделаете,новый поролон сделать,сделаете
145,Обивка велюром,обивка велюр,обивка
146,Велюром обиваете,велюр обивать,обивка
147,Делаете обивку велюром,делать обивка велюр,делаете
148,Велюр можете поменять,велюр мочь поменять,можете
149,Долго велюром обить,долго велюр обить,обивка
150,Долго велюр поменять,долго велюр поменять,поменять
151,Дорого велюр поменять,дорого велюр поменять,поменять
152,Долго на велюр поменять,долго велюр поменять,поменять
153,Дорого на велюр поменять,дорого велюр поменять,поменять
154,Новый велюр сделаете,новый велюр сделать,сделаете
155,Обивка Жаккардом,обивка жаккард,обивка
156,Жаккардом обиваете,жаккард обивать,обивка
157,Делаете обивку жаккардом,делать обивка жаккард,делаете
158,Жаккард можете поменять,жаккарда мочь поменять,можете
159,Долго Жаккардом обить,долго жаккард обить,обивка
160,Долго Жаккард поменять,долго жаккарда поменять,поменять
161,Дорого Жаккард поменять,дорого жаккарда поменять,поменять
162,Долго на Жаккард поменять,долго жаккарда поменять,поменять
163,Дорого на Жаккард поменять,дорого жаккарда поменять,поменять
164,Новый Жаккард сделаете,новый жаккарда сделать,сделаете
165,Обивка Шениллом,обивка шениллом,обивка
166,Шениллом обиваете,шениллом обивать,обивка
167,Делаете обивку шениллом,делать обивка шениллом,делаете
168,Шенилл можете поменять,шенилла мочь поменять,можете
169,Долго Шениллом обить,долго шениллом обить,обивка
170,Долго Шенилл поменять,долго шенилла поменять,поменять
171,Дорого Шенилл поменять,дорого шенилла поменять,поменять
172,Долго нШенилл поменять,долго ншенилла поменять,поменять
173,Дорого на Шенилл поменять,дорого шенилла поменять,поменять
174,Новый Шенилл сделаете,новый шенилла сделать,сделаете
175,Обивка Рогожкой,обивка рогожка,обивка
176,Рогожкой обиваете,рогожка обивать,обивка
177,Делаете обивку Рогожкой,делать обивка рогожка,делаете
178,Рогожку можете поменять,рогожка мочь поменять,можете
179,Долго Рогожкой обить,долго рогожка обить,обивка
180,Долго Рогожку поменять,долго рогожка поменять,поменять
181,Дорого Рогожку поменять,дорого рогожка поменять,поменять
182,Долго на Рогожку поменять,долго рогожка поменять,поменять
183,Дорого на Рогожку поменять,дорого рогожка поменять,поменять
184,Новую рогожку сделаете,новый рогожка сделать,сделаете
185,Обивка кожзамом,обивка кожзам,обивка
186,кожзамом обиваете,кожзам обивать,обивка
187,Делаете обивку кожзамом,делать обивка кожзам,делаете
188,кожзам можете поменять,кожзам мочь поменять,можете
189,Долго кожзамом обить,долго кожзам обить,обивка
190,Долго кожзам поменять,долго кожзам поменять,поменять
191,Дорого кожзам поменять,дорого кожзам поменять,поменять
192,Долго нкожзам поменять,долго нкожзам поменять,поменять
193,Дорого нкожзам поменять,дорого нкожзам поменять,поменять
194,Новый кожзам сделаете,новый кожзам сделать,сделаете
195,Новый кож заменитель сделаете,новый кожа заменитель сделать,сделаете
196,Новый кожзаменитель сделаете,новый кожзаменитель сделать,сделаете
197,кожзаменитель ремонтируете,кожзаменитель ремонтировать,обивка
198,Обивка флоком,обивка флоко,обивка
199,флоком обиваете,флоко обивать,обивка
200,Делаете обивку флок,делать обивка флка,делаете
201,Делаете обивку флоком,делать обивка флоко,делаете
202,флок можете поменять,флка мочь поменять,можете
203,Долго флоком обить,долго флоко обить,обивка
204,Долго флок поменять,долго флка поменять,поменять
205,Дорого флок поменять,дорого флка поменять,поменять
206,Долго на флок поменять,долго флка поменять,поменять
207,Дорого на флок поменять,дорого флка поменять,поменять
208,Новый флок сделаете,новый флка сделать,сделаете
209,Обивка замшей,обивка замша,обивка
210,замшей обиваете,замша обивать,обивка
211,Делаете обивку замша,делать обивка замша,делаете
212,Делаете обивку замшей,делать обивка замша,делаете
213,замшу можете поменять,замша мочь поменять,можете
214,Долго замшей обить,долго замша обить,обивка
215,Долго замшу поменять,долго замша поменять,поменять
216,Дорого замшу поменять,дорого замша поменять,поменять
217,Долго на замшу поменять,долго замша поменять,поменять
218,Дорого на замшу поменять,дорого замша поменять,поменять
219,Новую замшу сделаете,новый замша сделать,сделаете
220,Перетягивате искусственной или натуральной замшей,перетягивата искусственный натуральный замша,обивка
221,Перетягивате искуственной или натуральной замшей,перетягивата искуственный натуральный замша,обивка
222,Перетягивате иск или натуральной замшей?,перетягивата иск натуральный замша ?,обивка
223,Ткани иск или натуралка,ткань иск натуралка,обивка
224,Все иск или натур,иск натура,обивка
225,Обивка шерстью,обивка шерсть,обивка
226,Ткани шерстяные бывают,ткань шерстяной бывать,обивка
227,шерстью обиваете,шерсть обивать,обивка
228,Делаете обивку шерсть,делать обивка шерсть,делаете
229,Делаете обивку шерстью,делать обивка шерсть,делаете
230,шерсть можете поменять,шерсть мочь поменять,можете
231,Долго шерстяной обить,долго шерстяной обить,обивка
232,Долго шерстяную поменять,долго шерстяной поменять,поменять
233,Дорого шерсть поменять,дорого шерсть поменять,поменять
234,Долго на шерсть поменять,долго шерсть поменять,поменять
235,Дорого на шерстяную поменять,дорого шерстяной поменять,поменять
236,Новую шерстяную сделаете,новый шерстяной сделать,сделаете
237,Можете шестерню поменять,мочь шестерня поменять,можете
238,Каретную стяжку изготовите,каретный стяжка изготовить,обивка
239,Картную стяжку сделаете,картный стяжка сделать,сделаете
240,Фотографию поломки пришлю,фотография поломка прислать,обивка
241,Фотогорафию поломки прислать,фотогорафия поломка прислать,обивка
242,фотографию поломки отправить,фотография поломка отправить,обивка
243,Фото поломки пришлю,фото поломка прислать,обивка
